question_en,question_ne,response_en,response_ne,intent
How can I exercise during my period?,Period ko bela ma kasari exercise garna sakchu?,"During your period, try lighter exercises like walking, yoga, or stretching. These can help relieve cramps and reduce fatigue. Intense exercises may be too tiring, so listen to your body.","Tapaiko period ko samayama, haluka exercises jastai walking, yoga, ya stretching garna try garnu. Yo cramps kam garna ra thakan kam garna madat garna sakcha. Atyanta exercises dherai thakan dina sakcha, tesaile tapaiko sharir ko sunera garne.",lifestyle_intent
What types of workouts are best during my menstrual phase?,Kasto workout mahinawari ma ramro huncha?,"Gentle activities like walking, swimming, or light yoga are great during menstruation. Focus on flexibility exercises and avoid high-impact activities","Walking, swimming, ya haluka yoga jastai sabai gentle activities period ko samayama ramro hunchha. Flexibility exercises ma focus garnu ra high-impact activities avoid garnu.",lifestyle_intent
How can I reduce menstrual cramps naturally?,Ma prakitik tarikale menstrual cramps kasari kam garna sakchhu?,"You can reduce cramps by applying heat, staying hydrated, exercising, and eating anti-inflammatory foods.","Cramps kam garna tapai taato lagayera, pani khayera, exercise garera ra anti-inflammatory khana khayera saknuhunchha.",lifestyle_intent
What are some foods to avoid during periods?,Period ko belama kun khanaharu parhej garne?,"Avoid processed foods, caffeine, and salty or sugary snacks.","Processed foods, caffeine, ra dherai nimkha ra guliyo khana parhej garnuhos.",lifestyle_intent
Is it normal to feel tired during periods?,Periods ko belama thakais mannu normal ho?,"Yes, hormonal changes can make you feel tired. Rest and hydration help.","Ho, hormonal changes le timilai thakais jasto lagna sakcha. Rest ani pani khanu madad garcha.",lifestyle_intent
Can exercise help with period pain?,Exercise le period pain ma madad garna sakcha?,"Yes, light exercises like yoga or walking can reduce period pain.","Ho, yoga ya halka exercise jasto walking le period pain kam garna sakcha.",lifestyle_intent
How much water should I drink during my period?,Periods ko belama kati pani khanu parcha?,Aim for 2-3 liters of water daily to stay hydrated and reduce bloating.,"Din ma 2-3 liter pani piune kosis garnuhos, yo hydration ani bloating kam garna madad garcha.",lifestyle_intent
Can stress affect my menstrual cycle?,Stress le mero menstrual cycle ma prabhav parcha?,"Yes, stress can delay or irregularize your cycle.","Ho, stress le timro cycle delay ya irregular garna sakcha.",lifestyle_intent
What are healthy snacks for periods?,Periods ko lagi healthy snacks k hun?,"Fruits, nuts, yogurt, and dark chocolate are great options.","Fruits, nuts, yogurt, ra dark chocolate ramro option hun.",lifestyle_intent
Can I drink tea or coffee during periods?,Periods ma tea ya coffee piuna thik cha?,"It's okay in moderation, but avoid too much caffeine as it can worsen cramps.","Thikai cha moderate amount ma, tara caffeine ko adhik matra cramps bigarna sakcha.",lifestyle_intent
Why do I get bloated during periods?,Periods ko belama bloating kina hunchha?,Hormonal changes cause water retention and bloating.,Hormonal changes le pani retention ani bloating garna sakcha.,lifestyle_intent
Can I take a bath during my period?,Periods ko belama snan garna milcha?,"Yes, taking a bath can help with relaxation and pain relief.","Ho, snan garnale relaxation ani pain relief ma madad garna sakcha.",lifestyle_intent
Should I avoid junk food during periods?,Periods ko belama junk food parhej garnu parcha?,"Yes, junk food can increase bloating and worsen mood swings.","Ho, junk food le bloating badhauna ra mood swings bigarna sakcha.",lifestyle_intent
Why do I get mood swings during my period?,Periods ko belama mood swings kina hunchha?,Hormonal fluctuations during your cycle can cause mood swings.,Hormonal fluctuations le timro cycle ko belama mood swings garna sakcha.,lifestyle_intent
What are the benefits of exercising during periods?,Periods ko belama exercise garnu ko faida ke ho?,"Exercise can improve mood, reduce cramps, and boost energy levels.","Exercise le mood improve, cramps kam, ra energy level boost garna sakcha.",lifestyle_intent
Can I swim during my period?,Periods ko belama swimming garna milcha?,"Yes, with the use of tampons or menstrual cups, swimming is safe.","Ho, tampons ya menstrual cups ko prayog le swimming safe hunchha.",lifestyle_intent
Is it normal to feel bloated before my period?,Periods ko agadi bloated feel hunu normal ho?,"Yes, bloating is a common premenstrual symptom caused by hormonal changes.","Ho, bloating ek common premenstrual symptom ho, hormonal changes le garincha.",lifestyle_intent
Can diet impact my period symptoms?,Diet le mero period symptoms ma prabhav parcha?,"Yes, a balanced diet can reduce symptoms like cramps and fatigue.","Ho, balanced diet le cramps ani fatigue jasta symptoms kam garna sakcha.",lifestyle_intent
Are there any yoga poses for period relief?,Periods ko rahat ko lagi kehi yoga poses cha?,"Yes, poses like childâ€™s pose and cobra pose can relieve cramps.","Ho, childâ€™s pose ra cobra pose le cramps rahat dincha.",lifestyle_intent
Can I travel during my period?,Periods ko belama travel garna milcha?,"Yes, with proper preparation, traveling is completely safe.","Ho, ramro tayari le travel purai safe hunchha.",lifestyle_intent
Why do I get acne during my period?,Periods ko belama acne kina aauchha?,"Hormonal changes can increase oil production, causing acne.","Hormonal changes le oil production badhauna sakcha, jasma acne hunchha.",lifestyle_intent
What kind of workouts are best during periods?,Periods ko belama kasto workout sabai bhanda ramro huncha?,"Low-impact exercises like yoga, walking, or stretching are ideal.","Low-impact exercises jastai yoga, walking, ani stretching ramro huncha.",lifestyle_intent
Can I have dairy products during my period?,Periods ko belama dairy products khana milcha?,"Yes, but avoid high-fat dairy if you experience bloating.","Ho, tara bloating bhaye high-fat dairy products parhej garnuhos.",lifestyle_intent
What should I do if I feel dizzy during my period?,Periods ko belama dizzy feel bhaye k garne?,"Stay hydrated, eat small meals, and avoid standing up too quickly.","Hydrated rahanu, sano sano meal khanu, ani chito uthne parhej garnuhos.",lifestyle_intent
Why do I feel hungrier during my period?,Periods ko belama dherai bhok lagcha kina?,Hormonal changes can increase appetite and cravings.,Hormonal changes le appetite ani cravings badhauna sakcha.,lifestyle_intent
Is it safe to drink alcohol during my period?,Periods ma alcohol piuna safe cha?,"Alcohol can worsen dehydration and cramps, so itâ€™s best to limit it.","Alcohol le dehydration ani cramps bigarna sakcha, tesaile limit garna upayogi huncha.",lifestyle_intent
What are natural remedies for period headaches?,Period headaches ko lagi prakitik upachar ke ho?,"Hydration, rest, and magnesium-rich foods can help reduce headaches.","Hydration, rest, ani magnesium-rich foods le headaches kam garna sakcha.",lifestyle_intent
Can I use heating pads for period cramps?,Period cramps ko lagi heating pads use garna milcha?,"Yes, heating pads are very effective for relieving cramps.","Ho, heating pads cramps ko rahat ko lagi dherai effective huncha.",lifestyle_intent
Why do I get back pain during my period?,Periods ko belama back pain kina hunchha?,Back pain can be caused by uterine contractions during menstruation.,Back pain uterine contractions le menstruation ko belama huncha.,lifestyle_intent
Is it normal to have food cravings during periods?,Periods ko belama food cravings hunu normal ho?,"Yes, hormonal changes can cause cravings for salty or sugary foods.","Ho, hormonal changes le salty ya sugary foods ko cravings garna sakcha.",lifestyle_intent
What should I avoid during my period?,Periods ma k parhej garnu parcha?,"Avoid stress, caffeine, junk food, and heavy physical activities.","Stress, caffeine, junk food, ani heavy physical activities parhej garnuhos.",lifestyle_intent
Can massage therapy help with cramps?,Massage therapy le cramps ma madad garna sakcha?,"Yes, gentle massage around the lower back and abdomen can reduce cramps.","Ho, lower back ani abdomen ko gentle massage le cramps kam garna sakcha.",lifestyle_intent
Why do I feel nauseous during my period?,Periods ko belama nauseous kina feel hunchha?,Hormonal fluctuations can irritate your stomach and cause nausea.,Hormonal fluctuations le timro stomach irritate garna ani nausea feel garna sakcha.,lifestyle_intent
Can sleeping positions affect period pain?,Sleeping positions le period pain ma prabhav parcha?,"Yes, sleeping on your side with knees bent can relieve pain.","Ho, side ma sutera ani knees bent garera sutnu pain kam garna sakcha.",lifestyle_intent
How can I improve my sleep during periods?,Periods ko belama mero nidra kasari improve garna sakchhu?,"Maintain a consistent bedtime, avoid caffeine, and use a heating pad.","Consistent bedtime, caffeine avoid garne, ani heating pad use garna madad garna sakcha.",lifestyle_intent
Can I eat spicy food during my period?,Periods ko belama spicy food khana milcha?,"Spicy food can worsen bloating and cramps, so itâ€™s best to limit it.","Spicy food le bloating ani cramps bigarna sakcha, tesaile limit garna ramro hunchha.",lifestyle_intent
What are the best teas for period relief?,Periods ko rahat ko lagi kun chai ramro cha?,"Ginger tea, chamomile tea, and peppermint tea are effective.","Ginger tea, chamomile tea, ani peppermint tea ramro hunchha.",lifestyle_intent
Can period symptoms worsen with age?,Umer badhdai jada period symptoms badhna sakcha?,"Yes, symptoms may worsen due to hormonal changes like perimenopause.","Ho, hormonal changes jastai perimenopause le symptoms badhauna sakcha.",lifestyle_intent

Can period symptoms worsen with age?,age badhdai jada period symptom naramro huncha?,"Yes, symptoms may worsen due to hormonal changes like perimenopause.","Ho, hormonal changes jastai perimenopause le symptoms badhauna sakcha.",lifestyle_intent
How can I prevent period-related acne?,Periods ma aaune pimple kasari rokne?,"Maintain a skincare routine, stay hydrated, and avoid oily foods.","Skincare routine follow garnu, hydrated rahanu, ani oily foods avoid garnuhos.",lifestyle_intent
Can I use essential oils for period relief?,Periods relief ko lagi essential oils use garna milcha?,"Yes, oils like lavender or peppermint can reduce pain and promote relaxation.","Ho, lavender ya peppermint oils le pain kam garna ani relaxation badhauna sakcha.",lifestyle_intent
Why do I feel bloated even after my period ends?,Periods sakieko pachi pani bloating kina feel hunchha?,Post-period bloating can be caused by hormonal fluctuations or water retention.,Post-period bloating hormonal fluctuations ya water retention le huna sakcha.,lifestyle_intent
How to reduce heavy flow?,heavy flow kasari control garne?,Consult a doctor and eat iron-rich foods to manage heavy flow.,Doctor sanga consult garnu ra iron-rich foods khanu useful huncha.,lifestyle_intent
How can I reduce heavy flow during periods?,Periods ko belama heavy flow kasari kam garna sakchhu?,Consult a doctor and eat iron-rich foods to manage heavy flow.,Doctor sanga consult garnu ra iron-rich foods khanu useful huncha.,lifestyle_intent
Can my diet affect my mood during periods?,Periods ko belama diet le mood ma prabhav parcha?,"Yes, a healthy diet can help stabilize mood swings.","Ho, healthy diet le mood swings stabilize garna madat garna sakcha.",lifestyle_intent
What are good relaxation techniques for periods?,Periods ko lagi ramro relaxation techniques ke ke hun?,"Deep breathing, meditation, and light stretching can help relax.","Deep breathing, meditation, ani halka stretching le relaxation ma madat garna sakcha.",lifestyle_intent
Is it safe to skip meals during my period?,Periods ko belama meal skip garnu safe ho?,"Skipping meals can worsen fatigue and mood swings, so it's not recommended.","Meal skip garnale fatigue ra mood swings bigarna sakcha, tesaile recommend gardain.",lifestyle_intent
Why do I feel more emotional during periods?,Periods ko belama ma dhere emotional kina feel garchhu?,"Hormonal fluctuations impact your mood, causing heightened emotions.","Hormonal fluctuations le mood prabhavit garna sakcha, jasma heightened emotions hunchha.",lifestyle_intent
Can I have caffeine during my period?,Periods ko belama caffeine piuna milcha?,"Yes, in moderation, but too much caffeine can worsen cramps.","Ho, moderate amount ma, tara caffeine adhik le cramps bigarna sakcha.",lifestyle_intent
What is the role of magnesium during periods?,Periods ko belama magnesium ko bhumika ke ho?,Magnesium can help reduce cramps and improve mood.,Magnesium cramps kam garna ra mood improve garna madat garcha.,lifestyle_intent
How can I manage fatigue during my period?,Periods ko belama fatigue kasari manage garna sakchhu?,"Stay hydrated, eat balanced meals, and get enough sleep.","Hydrated rahanu, balanced meals khanu, ra prayapt nidra linu jaruri cha.",lifestyle_intent
Can herbal teas help with period symptoms?,Herbal teas le period symptoms ma madat garna sakcha?,"Yes, teas like chamomile or ginger tea can soothe cramps and improve digestion.","Ho, chamomile ya ginger tea jastai herbal teas le cramps soothe ani digestion improve garna sakcha.",lifestyle_intent
i feel cold during periods?,Periods ma jado feel garnu normal ho?,"Yes, hormonal changes can affect your body temperature.","Ho, hormonal changes le timro body temperature prabhavit garna sakcha.",lifestyle_intent
Is it normal to feel colder during periods?,Periods ko belama chiso feel hunu normal ho?,"Yes, hormonal changes can affect your body temperature.","Ho, hormonal changes le timro body temperature prabhavit garna sakcha.",lifestyle_intent
Can I wear tight clothes during periods?,Periods ko belama tight clothes lagayera thik huncha?,It's better to wear comfortable clothes to avoid discomfort.,Comfortable clothes lagayera discomfort avoid garnu ramro huncha.,lifestyle_intent
Why do I crave chocolate during my period?,Periods ko belama chocolate ko craving kina hunchha?,Chocolate cravings are common due to serotonin-boosting effects of cocoa.,Chocolate cravings serotonin boost garne cocoa ko karan le common huncha.,lifestyle_intent
How can I maintain hygiene during periods?,Periods ko belama hygiene kasari maintain garna sakchhu?,"Change pads or tampons regularly, wash thoroughly, and use clean underwear.","Pads ya tampons regularly change garnu, ramro sanga dhunu, ani safha undergarments prayog garnuhos.",lifestyle_intent
Can drinking water reduce period bloating?,Pani piunda period bloating kam hunchha?,"Yes, staying hydrated can help reduce bloating.","Ho, hydrated rahanu bloating kam garna sakcha.",lifestyle_intent
what to not eat in periods?,period ma k khanu hunna?,"Yes, processed foods, caffeine, and sugary snacks can worsen pain.","Ho, processed foods, caffeine, ani sugary snacks le pain bigarna sakcha.",lifestyle_intent
Are there foods that can make period pain worse?,Kunai khana haru cha jun period pain bigarchha?,"Yes, processed foods, caffeine, and sugary snacks can worsen pain.","Ho, processed foods, caffeine, ani sugary snacks le pain bigarna sakcha.",lifestyle_intent
How can I improve my energy during periods?,Periods ko belama energy kasari improve garna sakchhu?,Eat iron-rich and protein-packed meals and stay active.,Iron-rich ani protein-packed meals khanu ra active rahanu energy improve garna sakcha.,lifestyle_intent
Can I do heavy workouts during periods?,Period ma dherai exercise garna milcha?,Heavy workouts are not recommended; stick to light exercises.,"Heavy workouts recommend gardain, halka exercise garnu upayogi huncha.",lifestyle_intent
Can I do heavy workouts during periods?,Periods ko belama heavy workout garna milcha?,Heavy workouts are not recommended; stick to light exercises.,"Heavy workouts recommend gardain, halka exercise garnu upayogi huncha.",lifestyle_intent
What are the signs that my period is coming?,Mero period auna lageko ho bhanne kasari tha huncha?,"Common signs include bloating, cramps, mood swings, and tender breasts.","Pet fulne, dukhai, mood swings, ra chhati dukhne jastai lakshan haru dekhin sakcha",period_question
Can my period cycle change every month?,Mero period cycle harek mahina farak hun sakcha?,"Yes, slight variations are normal, but big changes may need medical advice.","Ho, ali ali farak hunu normal ho, tara dherai farak bhaye doctor sanga kura garnu.",period_question
How do I keep myself clean during periods?,Period ma kasari afule afulai safa rakhne?,"Change pads/tampons every few hours, wash properly, and maintain hygiene.","Kei ghanta ma pad/tampon change garne, ramro sanga dhune, ra hygiene maintain garne.",period_question
Does using tampons break virginity?,Tampon use gare virginity janchha?,"No, virginity is a concept related to sexual activity, not tampon use.","Hoina, virginity sex sanga sambandhit ho, tampon use sanga hoina.",period_question
Why do I feel bloated during my period?,Period ma pet fulne kina huncha?,"Hormonal changes cause water retention, leading to bloating","Hormonal parivartan le sharir ma pani jamna sakcha, jasle pet fulna sakcha.",period_question
How do I know if my period flow is too heavy,Mero period ko flow dherai bhaye kasari tha huncha?,"If you soak through a pad every 1-2 hours, it may be too heavy.","1-2 ghanta vitra pad pura bhaye, flow dherai bhaye jasto huncha.",period_question
Does period blood stop while sleeping?,Sute pachi period ko ragat rokcha?,"No, but due to lying down, flow may seem less at night.","Hoina, tara sutda gravity ko karanle flow kam jasto lagna sakcha.",period_question
Is it normal to have blood clots during periods?,Period ma ragat ka clots aunu normal ho?,"Small blood clots are normal, but large clots may indicate a health issue.","Sana ragat ka clots normal ho, tara dherai thulo bhaye doctor sanga sampark garnu.",period_question
Why is my period so light this month?,Yo mahina mero period dherai halko kina cha?,"A light period can happen due to stress, diet, or hormonal changes.","Stress, food habit, ra hormonal parivartan le period halka huna sakcha.",period_question
What is the normal age to get the first period?,Pahilo period kun umar ma aaucha?,The first period usually occurs between ages 9 and 16.,Pahilo period samanayata 9 dekhi 16 barsa vitra aaucha.,period_question
Is it good to drink milk during my period?,Period ma dudh khana ramro ho?,"Milk is fine, but if you feel bloated, try plant-based milk alternatives.","Dudh ramro ho, tara pet fulcha bhane plant-based milk try garnu sakcha",diet_intent
Does eating too much salt affect my period?,period ma nun khana milcha?,"Yes, too much salt can cause bloating and water retention.","limited amount ma nun milcha tara dherai nun le pet fulne ra pani jamne problem badhauna sakcha.",diet_intent
Can I eat eggs during my period?,Period ma andaa khana milcha?,"Yes, eggs are rich in protein and help maintain energy levels.","Ho, andaa ma protein huncha ra yo energy maintain garna madat garcha.",diet_intent
Does drinking green tea help with period pain?,Green tea le period ko dukhai kam garna sakcha?,"Yes, green tea has anti-inflammatory properties that can reduce cramps.","Ho, green tea ma anti-inflammatory properties huncha, jasle cramps kam garna sakcha.",diet_intent
Can skipping meals affect my period?,Khana nakhaye period ma kei asar parcha?,"Yes, skipping meals can cause hormonal imbalance and delay periods.","Ho, khana nakhaye hormone imbalance hune ra period dhilo huna sakcha.",diet_intent
Does eating nuts help during periods?,Period ma nuts badam khana milcha?,"Yes, nuts are rich in healthy fats and help regulate hormones.","Ho, nuts ma healthy fat huncha ra yasle hormones balance garna sakcha.",diet_intent
Can drinking hot water reduce period cramps?,Tato paani khada dukheko kam huncha?,"Yes, hot water can improve blood circulation and relax muscles.","Ho, tato pani le ragat sanchalan sudharera muscle relax garna sakcha.",diet_intent
What should I eat if I feel weak during my period?,Period ma kamjori huda k khanu parcha?,"Iron-rich foods like spinach, lentils, and nuts can help with weakness.","Iron bhayeko khana jastai palungo, daal, ra badam le kamjori kam garna sakcha",diet_intent
Can dairy products cause more pain?,Dairy products le period ma dukhai ajhai badcha?,"For some people, dairy can increase inflammation and worsen cramps.",Kehi mancheko lagi dairy le inflammation badhaera cramps tatha dukhai badhauna sakcha.,diet_intent
Does eating junk food affect my period?,Junk food le period ma asar garcha?,"Yes, too much junk food can lead to irregular periods and more bloating.","Ho, dherai junk food le period irregular banauna sakcha ra pet fulna sakcha.",diet_intent
Can I eat yogurt during my period?,Period ko bela dahi khana milcha?,"Yes, yogurt contains probiotics that help with digestion and reduce bloating.","Ho, dahi ma probiotics huncha, jasle pachaune kriya sudharcha ra pet fulne samasya kam garcha.",diet_intent
Does drinking coconut water helps during period?,Period bhairako bela nariwal paani khada kei help huncha?,"Yes, coconut water is rich in electrolytes and helps prevent dehydration.","Ho, nariwal pani electrolytes le bharpur huncha ra dehydration bata bachaucha",diet_intent
Can I eat meat during my period?,Masu khana milcha period ko bela?,"Yes, lean meats like chicken and fish provide iron and protein, which help with weakness.","Ho, chicken ra machha jasto lean masu ma iron ra protein huncha, jasle kamjori kam garna sakcha.",diet_intent
Can I drink lemon water?,Lemon pani khanu huncha?,"Yes, lemon water helps reduce bloating and improves digestion","Ho, lemon pani le pet fulne samasya kam garna ra pachaune kriya sudharna madat garna sakcha.",diet_intent
Should I avoid sugar during period?,Period ko bela chini kam garnu parcha?,"Yes, too much sugar can cause mood swings and increase inflammation.","Ho, dherai chini le mood swings ra inflammation badhauna sakcha.",diet_intent
Does eating watermelon help with period cramps?,watermelon le period cramps kam huncha?,"Yes, watermelon helps keep the body hydrated and reduces bloating.","Ho, watermelon le sharir hydrated banauna ra pet fulne samasya kam garna madat garcha.",diet_intent
Can I eat cheese during my period?,Period bhairako bela cheese khana milcha?,"Cheese is fine in moderation, but too much can cause bloating.","Cheese thikai ho, tara dherai khayepachi pet fulne samasya huna sakcha.",diet_intent
What foods should I avoid for a pain-free period?,Period ma pet nadukhna ko lagi k khane kura khanu parcha?,"Avoid processed foods, caffeine, and too much salt to reduce period pain.","Processed food, caffeine, ra dherai nun khana chhodnu ramro huncha.",diet_intent
Can eating garlic help with period pain?,Lasun khayepachi period ko dukhai kam huncha?,"Yes, garlic has anti-inflammatory properties that can help with cramps.","Ho, lasun ma anti-inflammatory properties huncha, jasle cramps kam garna sakcha.",diet_intent
Does drinking chamomile tea help during my period?,Chamomile tea le period ma madat garcha?,"Yes, chamomile tea can help reduce cramps and improve sleep.","Ho, chamomile tea le pet dukhai am garcha ra nindra pani ramrari lagcha",diet_intent
What are the signs of fertility in a woman?,Mahila haruma fertility ko lakhsyan haru k ho?,"Regular periods, cervical mucus changes, and basal body temperature rise are common signs","Regular period, cervical mucus ko paribartan, ra basal body temperature badhne sanket hun.",fertility_intent
How does age affect fertility?,Umer le fertility ma asar parcha?,"Fertility declines with age, especially after 35 in women.","Umer badhda fertility ghatdai jancha, bises gari 35 pachi.",fertility_intent
What is the best age to get pregnant?,Baccha pauna thik age k ho?,The best fertility years are between 20-35.,Baccha pauna sabse upayog age bhaneko 25 dekhi 35 ho,fertility_intent
How long does it take to get pregnant?,pregnant huna kati time lagcha?,"It depends, but most couples conceive within a year of trying.","Yo manche anusar farak huncha, tara dherai jodi ek barsa bhitra garbhavati hunchan.",fertility_intent
Can stress affect fertility?,Tanab liyo bhane fertility ma asar parcha?,"Yes, high stress can disrupt ovulation and hormone balance.","Ho, dherai tanav le ovulation ra hormone imbalance garna sakcha.",fertility_intent
Does weight affect fertility?,Weight badi bhayema fertility ma asar parcha?,"Yes, being underweight or overweight can impact ovulation.","Ho, dherai dublo ya mota bhaye ovulation ma asar parcha.",fertility_intent
Does birth control affect fertility?,Birth control lida fertility ma asar parcha?,"Temporary effects may occur, but fertility usually returns after stopping.","Samayik asar huncha, tara birth control banda gare pachi fertility firta auncha.",fertility_intent
Can you get pregnant right after stopping birth control?,Birth control lina chodepachi pregnant huna sakincha?,"Yes, but it may take a few cycles for ovulation to normalize.","Ho, tara ovulation normal huna kei mahina lagna sakcha.",fertility_intent
Does sleep affect fertility?,Nindra le fertility ma asar parcha?,"Yes, poor sleep can lead to hormonal imbalance and affect ovulation.","Ho, kam nidra le hormone imbalance garna ra ovulation asar garna sakcha.",fertility_intent
How many days after ovulation can you get pregnant?,Ovulation pachi kati din samma garbhavati huna sakincha?,"Usually, pregnancy is possible up to 24 hours after ovulation.",Samanya rup ma ovulation pachi 24 ghanta samma pregnancy sambhab huncha.,fertility_intent
Can irregular cycles affect fertility?,Aniyamit cycle le fertility ma asar garcha?,"Yes, irregular cycles may indicate ovulation problems.","Ho, aniyamit cycle le ovulation sambandhi samasya dekhaucha.",fertility_intent
Does late ovulation affect fertility?,Dhilo ovulation bhayo bhane fertility ma asar parcha?,Late ovulation can reduce the chances of conception.,Dhilo ovulation le pregnancy ko sambhavana kam garna sakcha.,fertility_intent
Can implantation bleeding be mistaken for a period?,Implantation bleeding lai period sanga bhram huna sakcha?,"Yes, but implantation bleeding is usually lighter.","Ho, tara implantation bleeding dherai halka huncha.",fertility_intent
Does cervical mucus indicate fertility?,Cervical mucus le fertility ko sanket dincha?,"Yes, clear and stretchy mucus means high fertility.","Ho, sapha ra laamo mucus high fertility dekhauna sakcha.",fertility_intent
Does traveling affect fertility?,Dherai travel le fertility ma asar garcha?,"Stress from travel may affect ovulation, but not always.","Travel le tanav badhaune huna sakcha, jasle ovulation asar garna sakcha.",fertility_intent
How soon after miscarriage can you try to conceive?,Miscarriage pachi kati din paxi garbhavati huna prayas garna milcha?,Doctors recommend waiting 1-3 months.,Doctor le 1-3 mahina parkhanu sujhauchan.,fertility_intent
Can heavy exercise affect ovulation?,Dherai exercise le ovulation ma asar garcha?,"Yes, extreme exercise can disrupt ovulation.","Ho, dherai exercise le ovulation ma asar garcha.",fertility_intent
Can anemia affect fertility?,Anemia le fertility ma asar garcha?,"Yes, anemia can lead to irregular ovulation.","Ho, anemia le ovulation irregular banauna sakcha.",fertility_intent
Can gut health impact fertility?,Gut health le fertility ma asar garcha?,"Yes, an unhealthy gut can cause inflammation and hormonal imbalances, which may affect fertility."," Ho, aswasth gut le inflammation ra hormonal imbalance garna sakcha, jasle fertility ma asar garcha.",fertility_intent
Can your blood type affect fertility and pregnancy?,Blood type le fertility ra pregnancy ma asar garcha?,"In some cases, Rh incompatibility between partners may affect pregnancy, but it does not directly impact fertility.","Kehi avasthama, sathi haru bichko Rh incompatibility le pregnancy ma asar garna sakcha, tara fertility ma sidha prabhav parcha bhanera hudaina.",fertility_intent
Can my period make my depression worse?,Mero period le mero depression naramro banauna sakcha?,"Yes, hormonal fluctuations can intensify existing depressive symptoms, a condition called premenstrual dysphoric disorder (PMDD).","Ho, hormonal fluctuations le depression ko symptoms badhauna sakcha, jasko naam PMDD ho.",mentalhealth_intent
Why do I struggle to sleep before my period?,"Mero period aunu agadi malai sutna garo huncha, kina?","Changes in progesterone levels can disrupt sleep patterns, causing insomnia or restlessness.","Progesterone level ma hune changes le sleep pattern bigarna sakcha, jasle insomnia badhauna sakcha.",mentalhealth_intent
Why do I experience panic attacks during my period?,"Mero period ma malai panic attack aauxa, kina?","Hormonal changes, dehydration, and blood sugar fluctuations can contribute to increased anxiety and panic attacks.","Hormones ko gadbadi ,dehydration ra blood sugar talamathi le anxiety ra panic attack badcha.",mentalhealth_intent
I feel really anxious before my periods. Is this normal?,Mero period aunu agadi dherai anxious huncha. Yo normal ho?,"Yes, it's common to feel anxious before your period due to hormonal changes. Try relaxation techniques like deep breathing, meditation, or light exercise to help manage anxiety","Ho, period aunu agadi hormonal changes le anxious feel garna sakcha. Deep breathing, meditation, ra halka exercise le tension kam garna madat garcha.",mentalhealth_intent
Why do I feel so irritable before my periods?,Mero period aunu agadi kina dherai irritate huncha?,"Hormonal fluctuations, especially a drop in estrogen and serotonin levels, can cause mood swings and irritability. Maintaining a balanced diet and staying active can help regulate mood.","Hormonal changes le estrogen ra serotonin level ghatcha, jasle mood swings ra irritation badhauna sakcha. Sano sano exercise garne ra healthy diet khane le mood control garna sakcha.",mentalhealth_intent
How can I manage mood swings during my cycle?,"Mero cycle ma mood swings huncha, kasari control garna sakchu?","Mood swings during your cycle are common due to hormonal shifts. Eating healthy, exercising, getting enough sleep, and practicing mindfulness can help stabilize your mood.","Hormonal changes le mood swings huncha, tara tyo control garna balanced diet khane, exercise garne, ramro nidra line ra stress kam garne kura ma dhyan dinu parcha.",mentalhealth_intent
Does my period affect my mental health?,Mero period le mero mental health lai affect garcha?,"Yes, menstrual cycles can impact mental health due to hormonal shifts. If you notice extreme mood changes, anxiety, or depression, consider tracking your symptoms and consulting a doctor.","Ho, hormonal changes le mental health lai affect garna sakcha. Mood swings, anxiety, ya depression extreme bhaye, symptoms track garera doctor sanga consult garne ramro huncha.",mentalhealth_intent
I feel very low and emotional during my periods. What should I do?,Mero period ma dherai emotional feel huncha. Ma ke garna sakchu?,"Feeling emotional during periods is common due to hormonal changes. Try self-care activities like listening to music, journaling, or engaging in hobbies to uplift your mood.","Hormonal changes le emotional feel garna sakcha. Music sunnu, diary lekhu, ya aafno man parne kaam garne jasto self-care activities le mood uplift garna madat garcha.",mentalhealth_intent
Does PMS cause anxiety and depression?,PMS le anxiety ra depression cause garna sakcha?,"Yes, PMS (Premenstrual Syndrome) can lead to anxiety and depressive feelings due to hormonal fluctuations. Regular exercise, hydration, and a balanced diet can help manage symptoms.","Ho, PMS le hormonal changes ko karan le anxiety ra depression badhauna sakcha. Regular exercise, pani dherai khane, ra healthy diet le symptoms kam garna sakcha.",mentalhealth_intent
How can I reduce stress during my periods?,Mero period ma stress kasari kam garna sakchu?,"Managing stress during periods is important. Try deep breathing, meditation, gentle exercise, and drinking plenty of water. Keeping a journal and practicing self-care can also help.","Period ko bela stress kam garna deep breathing, meditation, exercise garne, ra dherai pani khane ramro upaya ho. Journal lekhne ra self-care garne pani madat garcha.",mentalhealth_intent
I feel overwhelmed during my period. What should I do?,Mero period ma dherai overwhelmed feel huncha. Ma ke garna sakchu?,"Feeling overwhelmed during periods is common. Try taking breaks, listening to calming music, and prioritizing rest. Staying hydrated and eating nutritious food can also help stabilize your mood.","Period ma overwhelmed feel hunu normal ho. Break linu, shant music sunnu, ra ramro nidra linu. Pani dherai khane ra healthy food khane le mood control garna madat garcha.",mentalhealth_intent
What are some self-care tips for periods?,Period ko bela ma kasari self-care garna sakchu?,"During your period, prioritize self-care by staying hydrated, eating iron-rich foods, practicing relaxation techniques, and engaging in light physical activities. Avoid caffeine and get plenty of rest.","Period ko bela dherai pani khane, iron-rich food khane, meditation garne, ra halka exercise garne self-care ko ramro upaya ho. Caffeine kam khane ra dherai aram garne le pani help garcha.",mentalhealth_intent
